FIRST NAME,LAST NAME,OTHER NAME,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,BIRTH CITY,BIRTH STATE,HOMETOWN CITY,HOMETOWN STATE,CURRENT RESIDENCE,CURRENT STATE,SCHOOL/COLLEGE
Cammile,Adams,,F,Swimming,200m Fly,2012,"5'8""",143,32030,Houston,Texas,Houston,Texas,Charlotte,N.C. ,Texas A&M - Education (2014 grad)
Kathleen,Baker,,F,Swimming,100m Back,none,"5'8""",149,34027,Winston Salem,N.C. ,Winston-Salem,N.C. ,Winston Salem,N.C. ,"University of California – Berkeley ‘19, Public Health"
Elizabeth,Beisel,,F,Swimming,400m IM,"2008; 2012-S,B","5'6""",146,32372,Saunderstown,R.I.,Saunderstown,R.I.,Gainesville,Fla.,University of Florida - Communications (2014 grad)
Maya,DiRado,,F,Swimming,"200m Back, 200m IM, 400m IM",none,"5'9""",143,32602,San Francisco,Calif.,Santa Rosa,Calif.,Redwood City,Calif.,"Stanford University ‘14, Management Science and Engineering "
Hali,Flickinger,,F,Swimming,200m Fly,none,"5'5""",115,33060,York,Penn.,Spring Grove,Pa. ,Athens,Ga.,"University of Georgia '17, Finance"
Missy,Franklin,,F,Swimming,"200m Back, 200m Free, 4x200m Free","2012-4G, 1B","6'2""",170,33367,Pasadena,Calif.,Centennial,Colo. ,Centennial,Colo.,"Regis Jesuit High School (Aurora, Colo.) ‘13"
Molly,Hannis,,F,Swimming,200m Breast,none,"5'6""",155,32214,Santa Rosa,Calif.,Santa Rosa,Calif. ,Knoxville,Tenn.,"University of Tennessee '15, Recreation Sports Management"
Lilly,King,,F,Swimming,"100m Breast, 200m Breast",none,"5'9""",155,2/10/1997 ,Evansville,Ind.,Evansville,Ind. ,Evansville,Indiana,"Indiana University '19, Physical Education"
Katie,Ledecky,,F,Swimming,"200m Free, 400m Free, 800m Free, 4x200m Free",2012-G,"6'0""",160,34044,"Wasington, D.C.",-,Bethesda,Md. ,Bethesda,Md.,"Stanford University, Undeclared"
Simone,Manuel,,F,Swimming,"50m Free, 100m Free, 4x100 Free",none,"5'10""",160,33817,Houston,Texas,Sugar Land,Texas,Sugar Land,Texas,"Stanford University '18, Undeclared"
Melanie,Margalis,,F,Swimming,"200 IM, 4x200 Free",none,"5'8""",144,32140,Clearwater,Fla.,Clearwater,Fla. ,Clearwater,Fla.,"University of Georgia '14, Fashion Merchandising"
Katie,Meili,,F,Swimming,100m Breast,none,"5'7""",135,4/16/1991 ,Carrollton,Texas,Colleyville,Texas,Charlotte,N.C. ,"Columbia University '13, Psychology"
Lia,Neal,,F,Swimming,4x100m Free,2012 - B,"5'10""",165,33281,Brooklyn,N.Y.,Brooklyn,N.Y.,Brooklyn ,N.Y. ,"Stanford Univeristy '17, Science, Technology and Society"
Cierra,Runge,,M,Swimming,4x200m Free,none,"6'4""",187,3/7/1996  ,West Chester,Pa.,Cochranville,Pa.,Cochranville,Pa.,"University of California – Berkeley, University of Wisconsin, Undeclared"
Allison,Schmitt,,F,Swimming,4x200m Free,"2008-B; 2012-3G,S,B","6'1""",165,6/7/1990  ,Pittsburgh,Pa.,Canton,Mich.,Paradise Valley,Ariz. ,"University of Georgia ‘13, Psychology"
Leah,Smith,,F,Swimming,"400m Free, 800m Free, 4x200m Free",none,"5'9""",149,33346,Pittsburgh,Pa.,Pittsburgh,Pa.,Charlottesville,Va.,"University of Virginia '17, Media Studies"
Olivia,Smoliga,,F,Swimming,100m Back,none,"6'2""",165,33157,Phoenix,Ariz.,Chicago,Ill.,Athens,Ga.,"Univeristy of Georgia '16, Exercise and Sport Science"
Dana,Vollmer,,F,Swimming,"100m Fly, 4x100m Free","2012-3G, 2004-G","6'1""",150,30632,Syracuse,N.Y.,Danville,Calif.,Danville,Calif.,"University of California - Berkeley '10, Anthropology"
Amanda,Weir,,F,Swimming,4x100m Free,"2012-B, 2004-2S","6'2""",170,30020,Davenport,Iowa,Lawrenceville,Ga.,Decatur,Ga.,"University of Southern California '09, Fine Art"
Amanda,Weitzeil,,F,Swimming,"50m Free, 100m Free, 4x100m Free",none,5'10,150,33940,Valencia,Calif.,Saugus,Calif.,Saugus,Calif.,"Saugus High School (Saugus, Calif.) '15"
Kelsi,Worrell,,F,Swimming,100m Fly,none,"5'11""",165,33068,Voorhees,N.J.,Westampton,N.J.,Louisville,Ky.,"University of Louisville '16, Exercise Science"
Sean,Ryan,,M,Swimming,10K Open Water,None,"6'3""",170,32367,Augusta,Ga.,Chattanooga,Tenn.,Ann Arbor,Mich.,University of Michigan - Mechanical Engineering (2014)
Jordan,Wilimovsky,,M,Swimming,"10K Open Water; 1,500m free",none,"5'9""",150,32984,Malibu,Calif.,Malibu,Calif.,Mailbu,Calif.,Northwestern University - Political Science (2016)
Haley,Anderson,,F,Swimming,10K Open Water,2012-Silver,"5'10""",150,32100,Santa Clara ,Calif.,Granite Bay,Calif.,Manhattan,Calif.,University of Southern California - Communications (2013) 
Anita,Alvarez,,F,Synchro,Duet/Team,none,"5'7""",114,33939,Buffalo,N.Y.,Buffalo,N.Y.,Concord,Calif.,U.S. Performance Academy - (2015)
Mariya,Koroleva,,F,Synchro,Duet/Team,2012,"5'5""",123,31511,Yaroslavl,Russia,Concord,Calif.,Concord,Calif.,Stanford University - Communications (2013)
Yijun,Feng,,M,Table Tennis,"Singles, Team",none,"6'1""",157,34011,Nanjing,China,Alpharetta,Ga. ,Alpharetta,Ga.,
Kanak,Jha,,M,Table Tennis,"Singles, Team",none,"5'5""",114,35234,Milpitas,Calif.,Milpitas,Calif.,Milpitas,Calif.,"Milpitas High School (Milpitas, Calif.) '18"
Timothy,Wang,,M,Table Tennis,Singles,2012,"5'9""",141,32005,Houston,Texas,Houston,Texas,Houston,Texas,"Kerr High School (Houston, Texas) '09"
Jennifer,Wu,Yue (legal first name),F,Table Tennis,"Singles, Team",none,"5'3""",112,31425,Beijing,China,Fort Lee,N.J.,Fort Lee,N.J.,
Lily,Zhang,,F,Table Tennis,"Singles, Team",2012,"5'5""",130,33770,Palo Alto,Calif.,Palo Alto,Calif.,Milpitas,Calif.,University of California - Berkeley
Jiaqi,Zheng,,F,Table Tennis,Team,none,"5'5""",94,30693,Zaozhuang,China,Fremont,Calif. ,Fremont,Calif.,
Stephen,Lambdin,,M,Taekwondo,+80 kg.,None,"6'2""",240,30749,Rockwall,Texas,Colleyville,Texas,Edmond,Okla.,California Lutheran University - Criminal Justice (2011)
Steven,Lopez,,M,Taekwondo,80 kg.,2000-G; 2004-G; 2008-B; 2012,"6'3""",185,27341,New York,N.Y.,Sugar Land,Texas,Sugar Land,Texas,"Kempner High School (Sugar Land, Texas) '97"
Jackie,Galloway,,F,Taekwondo,+67 kg.,None,"5'10""",175,33598,Crownpoint,Ind.,Wylie,Texas,Sachse,Texas,Southern Methodist University - Biomechanical engineering (2018)
Paige,McPherson,,F,Taekwondo,-67 kg.,2012-B,"5'8""",140,31685,Abilene,Texas,Sturgis,S.D. ,Miami,Fla.,Miami-Dade College
Brian,Baker,,M,Tennis,Singles,none,"6'3""",170,29705,Nashville,Tenn.,Nashville,Tenn.,McLean,Va.,"Belmont University '15, General Business"
Steve ,Johnson,,M,Tennis,"Singles, Doubles",none,"6'2""",190,31404,Los Angeles,Calif.,Los Angeles,Calif.,New York,N.Y. ,USC
Denis,Kudla,,M,Tennis,Singles,none,"5'11""",175,32371,Kiev,Ukraine,Arlington,Va.,Tampa,Fla.,"Laurel Springs High School (College Park, Maryland) '10"
Jack,Sock,,M,Tennis,"Singles, Doubles",none,"6'3""",185,32409,Lincoln,Neb.,Lincoln,Neb.,Overland,Kan. ,
Madison,Keys,,F,Tennis,Singles,none,"5'10""",150,33285,Bettendorf,Iowa,Lake Worth,Fla. ,Lake Worth,Fla.,
Bethanie,Mattek-Sands,,F,Tennis,Doubles,none,"5'6""",145,29667,Rochester,Minn. ,Phoenix,Ariz.,Phoenix,Ariz. ,
Rajeev ,Ram,,M,Tennis,Doubles,none,"6'4""",185,29297,Englewood,Colo.,Carmel,Ind.,Carmel,Ind.,"University of Illinois – Urbana-Champaign ‘06, Coursework"
Sloane,Stephens,,F,Tennis,Singles,none,"5'8""",142,32586,Fresno,Calif.,Ft. Lauderdale,Fla. ,Los Angeles,Calif.,
Coco ,Vandeweghe,,F,Tennis,Doubles,none,"6'1""",155,32116,New York,N.Y.,Rancho Santa Fe,Calif.,Rancho Santa Fe,Calif.,
Venus,Williams,,F,Tennis,"Singles, Doubles",2000-2G; 2004; 2008-G; 2012-G,"6'1""",160,27927,Lynwood,Calif.,Palm Beach Gardens,Fla. ,Palm Beach Gardens,Fla.,
Serena,Williams,,F,Tennis,"Singles, Doubles",2000-G; 2008-G; 2012-2G,"5'10""",160,28393,Saginaw,Mich.,Palm Beach Gardens,Fla. ,Beverly Hills,Calif.,
Brad,Adkins,,M,Track and Field,High Jump,none,"6'2""",175,32871,Lubbock,Texas,Idalou,Texas,Lubbock,Texas,Texas Tech University '16
Morolake,Akinosun,,F,Track and Field,4x100m,none,"5'4""",135,33009,Lagos,Nigeria,Chicago,Ill.,Austin,Texas,"University of Texas '16, Exercise Science"
Devon,Allen,,M,Track and Field,110m Hurdles,none,"6'1""",185,33218,Eugene,Ore.,Eugene,Ore.,Eugene,Ore.,"University of Oregon '17, Business"
Nia,Ali,,F,Track and Field,100m Hurdles,none,"5'7""",143,30977,Philadelphia,Pa.,Philadelphia,Pa.,Los Angeles,Calif.,Tennessee '07; USC '11
Robby,Andrews,,M,Track and Field,"1,500m",none,"5'10""",145,31864,Staten Island,N.J.,Manalapan,N.J.,Manalapan,N.J.,"University of Virginia '14, Kinesiology"
Ronnie,Ash,,M,Track and Field,110m Hurdles,none,"6'2""",208,30864,Passaic,N.J.,Passaic,N.J.,Tallahassee,Fla.,University of Oklahoma
Whitney,Ashley,,F,Track and Field,Discus Throw,none,"5'10""",200,31095,Riverside,Calif.,Riverside,Calif.,Chula Vista,Calif.,"San Diego State University '12, Journalism"
Tavis,Bailey,,M,Track and Field,Discus Throw,none,"6'3""",275,32147,Poughkeepsie,N.Y.,Kannapolis,N.C. ,Knoxville,Tenn.,"University of Tennessee, '16, MBA Sport Management"
Tianna,Bartoletta,Madison,F,Track and Field,"100m, Long Jump",2012-G,"5'6""",130,29827,Elyria,Ohio,Tampa,Fla. ,Tampa,Fla.,"University of Tennessee '07, Social Work "
Chris,Benard,,M,Track and Field,Triple Jump,none,"6'3""",185,31510,Tustin,Calif.,Corona,Calif.,Chula Vista,Calif.,"Arizona State University '12, Communication/Exercise and Wellness"
Boris,Berian,,M,Track and Field,800m ,none,"6'0""",153,32495,Colorado Springs,Colo. ,Colorado Springs,Colo.,Rancho Cucamonga,Calif.,"Adams State University, Education and Coaching"
Gwen,Berry,,F,Track and Field,Hammer Throw,none,"5'9""",195,31226,Centerville,Ill.,St. Louis,Mo. ,Oxford,Miss.,"Southern Illinois University '11, Psychology/Criminal Justice"
Ben,Blankenship,,M,Track and Field,"1,500m",none,"5'10""",140,31030,Minneapolis,Minn. ,Stillwater,Minn.,Eugene,Ore.,"University of Minnesota '11, American Studies"
Hillary,Bor,,M,Track and Field,3000m Steeplechase,none,"5'6""",115,31372,Rift Valley,Kenya,Colorado Springs,Colo.,Colorado Springs,Colo. ,"Iowa State University '11, Accounting"
Brittany,Borman,,F,Track and Field,Javelin Throw,2012,"6'0""",170,31228,St. Louis,Mo.,Festus,Mo. ,Fullerton,Calif.,"University of Oklahoma ('09-'12), UCLA ('08-'09)"
Tori,Bowie,,F,Track and Field,"100m, 200m",none,"5'9""",128,31650,Jackson,Miss.,Sandhill,Miss.,Lena,Miss.,"University of Southern Mississippi, Interdisciplinary Studies"
Marvin,Bracy,,M,Track and Field,100m,none,"5'9""",171,32856,Orlando,Fla.,Orlando,Fla. ,Clermont,Fla.,Florida State University
Trayvon,Bromell,,M,Track and Field,100m,none,"5'9""",154,33428,St. Petersburg,Fla.,St. Petersburg,Fla. ,Waco,Texas,"Baylor University '17, Film and Digital Media"
Donn,Cabral,,M,Track and Field,3000m Steeplechase,2012,"5'10""",148,31392,Glastonbury,Conn.,Glastonbury,Conn. ,Annandale,N.J.,Princeton '12
Amber,Campbell,,F,Track and Field,Hammer Throw,2008; 2012,"5'7""",200,28280,Cincinnati,Ohio,Indianapolis,Ind.,Myrtle Beach,S.C.,Coastal Carolina (2004 grad)
Kelsey,Card,,F,Track and Field,Discus Throw,none,"5'10""",255,32374,Springfield,Ill.,Carlinville,Ill.,Madison,Wis.,"University of Wisconsin '16, Human Development and Family Studies"
Michelle,Carter,,F,Track and Field,Shot Put,2008; 2012,"5'9""",300,29870,San Jose,Calif.,Ovilla,Texas,Ovilla,Texas,Texas (2007 grad)
Kristi ,Castlin,,F,Track and Field,100m Hurdles,none,"5'7""",133,30869,Atlanta ,Ga.,Atlanta,Ga.,Alpharetta,Ga.,"Virginia Tech, Political Science"
Matthew,Centrowitz,,M,Track and Field,"1,500m",2012,"5'9""",145,31337,Beltsville,Md.,Portland,Ore.,Portland,Ore.,"University of Oregon '11, Sociology"
Paul,Chelimo,,M,Track and Field,"5,000m ",none,"5'9""",125,31711,Rift Valley,Kenya,Beaverton,Ore.,Beaverton,Ore.,University of North Carolina - Greensboro
Will,Claye,,M,Track and Field,Triple Jump,"2012-S, B","5'11""",160,31940,Tucson,Ariz.,Phoenix,Ariz.,Gainesville,Fla.,Oklahoma '10/Florida '12
Kerron,Clement,,M,Track and Field,400m hurdles,"2008-G, S; 2012","6'2""",192,29889,Trinidad,Trinidad and Tobago,LaPorte,Texas,Gainesville,Fla.,University of Florida '07
Kyle,Clemons,,M,Track and Field,4x400m,none,"5'11""",163,31772,Jonesboro,Ark.,Jonesboro,Ark.,Lawrence,Kan. ,"University of Kansas, African American Studies "
Emma,Coburn,,F,Track and Field,3000m Steeplechase,2012,"5'8""",120,31703,Boulder,Colo.,Crested Butte,Colo.,Boulder,Colo.,University of Colorado '13
Christian,Coleman,,M,Track and Field,4x100m,none,"5'9""",159,33668,Atlanta,Ga.,Atlanta ,Ga.,Atlanta,Ga.,"University of Tennessee, Sport Management "
Kim,Conley,,F,Track and Field,5000m,2012,"5'3""",110,30023,Slough,United Kingdom,Sacramento,Calif. ,West Sacramento,Calif.,UC Davis - Exercise Biology (2009 grad)
Ryan,Crouser,,M,Track and Field,Shot put,none,"6'7""",275,32494,Portland,Ore.,Boring,Ore.,Redmond,Ore.,"University of Texas '15, Economics"
Sam,Crouser,,M,Track and Field,Javelin Throw,none,"6'6""",230,32141,Gresham,Ore.,Gresham,Ore.,Gresham,Ore.,"University of Oregon '15, Sociology"
Logan,Cunningham,,M,Track and Field,Pole Vault,none,"5'9""",160,31926,Nacogdoches,Texas,Smithson Valley,Texas,San Marcos,Texas,"Texas State University '14, Nutrition and Foods"
Vashti,Cunningham,,F,Track and Field,High Jump,none,"6'1""",123,34351,Las Vegas,Nev.,Las Vegas,Nev. ,Las Vegas,Nev.,"Bishop Gorman High School (Las Vegas, Nev.) '16"
Abbey,D'Agostino,,F,Track and Field,5000m,none,5'3,110,32287,Boston,Mass.,Topsfield,Mass.,Brighton,Mass.,Dartmouth University '14
Janay,Deloach ,,F,Track and Field,Long Jump,2012-B,"5'5""",128,29870,Tyndall Air Force Base,Fla.,Fort Collins,Colo.,Fort Collins,Colo.,"Colorado State University '08, Human Development, Colorado State University '12, Occupational Therapy"
Ashton,Eaton,,M,Track and Field,Decathlon,2012-G,"6'1""",180,30701,Portland,Ore. ,Bend,Ore. ,Vancouver,Wash.,"University of Oregon '10, Psychology"
Taylor,Ellis-Watson,,F,Track and Field,4x400m,none,"6'0""",142,32633,Philadelphia,Pa.,Philadelphia,Pa.,Melbourne,Fla.,"University of Pittsburgh '15, Psychology"
Christina,Epps,,F,Track and Field,Triple Jump,none,"5'9""",145,31947,Bronx,N.Y.,Morristown,N.J. ,Baltimore,Md.,"Coppin State University '13, Psychology "
Andrew,Evans,,M,Track and Field,Discus Throw,none,"6'6""",250,31801,Kalamazoo,Mich.,Portage,Mich.,Chula Vista,Calif.,"University of Kentucky '15, Kinesiology"
Allyson,Felix,,F,Track and Field,400m,"2004-S; 2008-G,S; 2012-3G","5'6""",125,29907,Los Angeles,Cailf.,Los Angeles,Calif.,Los Angeles,Calif.,"University of Southern California '07, Elementary Education"
Mason ,Finley,,M,Track and Field,Discus Throw,none,"6'8""",348,31691,Kansas City,Mo.,Chaffee County,Colo. ,Lawrence,Kan. ,"University of Wyoming '14, Theatre Performance"
Phyllis,Francis,,F,Track and Field,400m,none,"5'11""",158,32266,New York,N.Y.,Bryan,Texas,Bryan,Texas,"University of Oregon '14, Social Sciences"
Courtney,Frerichs,,F,Track and Field,3000m Steeplechase,none,"5'7""",118,32525,Barrington ,Ill.,Nixa,Mo. ,Nixa,Mo.,"University of New Mexico '17, M.S. community Health"
Sean,Furey,,M,Track and Field ,Javelin Throw,2012 - 37,"6'2""",200,28732,Greenville,N.C. ,Methuen,Mass.,San Diego,Calif.,"Dartmouth College '04, Mechanical Engineering; '05, Engineering Management"
English,Gardner,,F,Track and Field,100m,none,"5'6""",120,32254,Philadelphia,Pa.,Voorhees,N.J. ,Lumberton,N.J.,"University of Oregon '13, Social Sciences"
Justin,Gatlin,,M,Track and Field,"100m, 200m","2004-G,S,B; 2012-B,S","6'1""",177,28530,Brooklyn,N.Y. ,Pensacola,Fla. ,Clermont,Fla.,"University of Tennesee '02; Troy University '06, Psychology "
Tyson,Gay,,M,Track and Field,4x100m,2008; 2012-S,"5'11""",178,28710,Lexington,Ky. ,Lexington,Ky.,Clermont,Fla.,Barton CC '03; Arkansas - Marketing '05
Andrea,Geubelle,,F,Track and Field,Triple Jump,none,"5'4""",128,31953,Lakewood,Wash.,University Place,Wash.,University Place,Wash. ,"University of Kansas, Community Health/Pre-Nursing"
Kate,Grace,,F,Track and Field ,800m,none,"5'8""",122,30978,Los Angeles,Calif.,Sacramento,Calif.,Sacramento,Calif.,"Yale University '11, Bachelor of Arts"
Arman,Hall,,M,Track and Field,4x400m,none,"6'0""",165,32915,Miami,Fla.,Pembroke Pines,Fla. ,Pembroke Pines,Fla.,"University of Florida '17, African American Studies "
Marielle,Hall,,F,Track and Field,"10,000m",none,5'3,112,32169,Philadelphia,Pa.,Mount Laurel ,N.J. ,Mount Laurel,N.J.,"University of Texas '14, Government"
Mike,Hartfield,,M,Track and Field,Long Jump,none,"6'3""",170,31499,Hartford,Conn.,Manchester,Conn.,Chula Vista,Calif.,"Ohio State University '13, Sociology and Criminal Justice "
Natasha,Hastings,,F,Track and Field,400m,2008-G,"5'8""",150,30154,Brooklyn,N.Y. ,Queens,N.Y. ,Round Rock,Texas,"University of South Carolina '09, Exercise Science"
Jeff,Henderson,,M,Track and Field,Long Jump,none,"6'0""",189,31096,McAlmont,Ark.,McAlmont,Ark.,Chula Vista,Calif.,"Stillman College '13, Business Administration"
Darrell,Hill,,M,Track and Field,Shot Put,none,"6'3""",320,32736,Darby,Pa.,Darby,Pa.,State College,Pa.,"Penn State University '15, Rehabiliation and Human Service"
Cyrus,Hostetler,,M,Track and Field,Javelin Throw,2012,"6'2""",210,30170,Newberg,Ore.,Newberg,Ore.,Chula Vista,Calif.,"University of Oregon '10, Art"
Shelby,Houlihan,,F,Track and Field,5000m,none,"5'3""",118,32546,Sioux City,Iowa,Sioux City,Iowa,Beaverton,Ore.,"Arizona State University '15, Interdisciplinary Studies/Business"
Molly,Huddle,,F,Track and Field,"10,000m",2012,"5'5""",108,29463,Elmira,N.Y.,Elmira,N.Y. ,Providence,R.I.,"University of Notre Dame '06, Biology"
Emily,Infeld,,F,Track and Field,"10,000m",none,5'4,110,31491,University Heights,Ohio,Portland,Ore.,Portland,Ore.,Georgetown University
Evan,Jager,,M,Track and Field,"3,000m Steeplechase",2012,"6'2""",145,31113,Algonquin,Ill.,Algonquin,Ill.,Portland,Ore.,Wisconsin
Charles,Jock,,M,Track and Field,800m,none,"6'3""",164,31373,Addis Ababa,Ethiopia,San Diego,Calif.,Eugene,Ore.,"University of California - Irvine '12, Urban Studies"
Felisha,Johnson,,F,Track and Field,Shot Put,none,"6'1""",280,31251,Indianapolis,Ind.,Indianapolis,Ind.,Terra Haute,Ind.,"Indiana State University '13, Recreational Sport Management"
Kibwe,Johnson,,M,Track and Field,Hammer Throw,2012-T-9th,"6'2""",225,28322,San Francisco,Calif.,San Francisco,Calif.,Bradenton,Fla.,"University of Georgia '01,"
Sam,Kendricks,,M,Track and Field,Pole Vault,none,"6'1""",175,32392,Oceanside,Calif.,Oxford,Miss.,Oxford,Miss.,University of Mississippi
Shadrack,Kipchirchir,,M,Track and Field,"10,000m",none,"5'8""",118,31099,Eldoret,Kenya,Beaverton,Ore.,Beaverton,Ore.,"Oklahoma State University '14, Construction Engineering"
Leonard,Korir,,M,Track and Field,"10,000m ",none,"5'7""",130,30294,Iten,Kenya,Colorado Springs,Colo.,Colorado Springs,Colo.,Iona College
Joe,Kovacs,,M,Track and Field,Shot Put,none,"6'0""",295,31225,Bethlehem,Pa.,Nazareth,Pa.,Chula Vista,Calif.,"Penn State University '11, Energy Business and Finance"
Erik,Kynard,,M,Track and Field,High Jump,2012-S,"6'4""",198,31810,Toledo,Ohio,Toledo,Ohio,Manhattan,Kan. ,Kansas State University '13
Bernard,Lagat,,M,Track and Field,"5,000m",2000-B; 2004-S; 2008; 2012,"5'8""",130,25913,Kapsabet,Kenya,Tucson,Ariz.,Tucson,Ariz. ,Washington State '99
Jarrion,Lawson,,M,Track and Field,Long Jump,none,"6'2""",172,32998,Texarkana,Texas,Texarkana,Texas,Fayetteville,Ark. ,University of Arkansas
Chaunte,Lowe,Howard,F,Track and Field,High Jump,2004; 2008; 2012,"5'9""",132,29231,Templeton,"Calif,",Riverside,Calif.,Oviedo,Fla.,"Georgia Tech '06, Economics/Finance; Western Governors University, Mathematics Education"
Maggie,Malone,,F,Track and Field,Javelin Throw,none,"5'8""",170,32871,College Station,Texas,Geneva,Neb.,College Station,Texas,"Texas A&M University '17, Human Resources"
Brenda,Martinez,,F,Track and Field,1500m,none,"5'7""",124,30566,Upland,Calif.,Big Bear Lake,Calif.,Rancho Cucamonga,Calif.,California - Riverside '10
Conor,McCullough,,M,Track and Field,Hammer Throw,none,"6'5""",235,31807,Woodland Hills,Calif.,Los Angeles,Calif.,Canoga Park,Calif.,"University of Southern California, History"
Francena,McCorory,,F,Track and Field,4x400m,2012-G,"5'7""",151,30974,Los Angeles,Calif.,Hampton,Va.,Hampton,Va.,Hampton University '10
Inika,McPherson,,F,Track and Field,High Jump,none,"5'5""",114,30222,Galveston,Texas,Port Arthur,Texas ,Oakland,Calif.,"University of California - Berkeley '09, African American Studies"
Sydney ,McLaughlin,,F,Track and Field,400m Hurdles,none,"5'9""",132,34917,New Brunswick,N.J. ,Dunellen,N.J. ,Dunellen ,N.J.,"Union Catholic Regional High School (Scotch Plains, N.J.) '17"
Tony,McQuay,,M,Track and Field,4x400m,2012-S,"5'11""",160,31517,West Palm Bach,Fla.,Clermont,Fla. ,Clermont,Fla.,University of Florida '12
Hassan,Mead,,M,Track and Field,"5,000m",none,"6'2""",145,31955,Borama,Somalia,Eugene,Ore.,Eugene,Ore.,"University of Minnesota '11, Communications"
LaShawn,Merritt,,M,Track and Field,"200m, 400m, 4x400m",2008-2G; 2012,"6'3""",190,30128,Portsmouth,Va. ,Portsmouth,Va.,Portsmouth,Va.,"East Carolina '08, Business Management"
Heather,Miller-Koch,,F,Track and Field,Heptathlon,none,"5'9""",140,30404,Madison,Wis.,Columbus,Wis.,Mendota Heights,Minn.,"St. Cloud State University '10, Nursing"
Sandi,Morris,,F,Track and Field,Pole Vault,none,"5'8""",137,32331,Downers Grove,Ill.,Greenville,S.C. ,Fayetteville,Ark. ,"University of Arkansas '15, Broadcast Journalism "
Dalilah,Muhammad,,F,Track and Field,400m Hurdles,none,"5'8""",122,31449,Jamaica,N.Y. ,Jamaica,N.Y. ,Los Angeles,Calif.,USC '12
Clayton,Murphy,,M,Track and Field,800m,none,"5'11""",150,33294,Greenville,Ohio,Akron,Ohio,Akron,Ohio,"University of Akron '17, Corporate Finance"
Barbara,Nwaba,,F,Track and Field,Heptathlon,none,"5'9""",146,31064,Los Angeles,Calif.,Los Angeles,Calf.,Santa Barbara,Calif.,"University of California - Santa Barbara '12, Sociology"
Courtney,Okolo,,F,Track and Field,4x400m,none,"5'8""",130,32946,Dallas,Texas,Carrollton,Texas,Austin,Texas,"University of Texas, 16"
Keturah,Orji,,F,Track and Field,Triple Jump,none,"5'5""",135,33667,Hoboken,N.J. ,Mount Olive,N.J. ,Budlake ,N.J.,"University of Georgia '18, Financial Planning"
Jeff,Porter,,M,Track and Field,110m Hurdles,2012,"6'0""",190,29916,Summit,N.J. ,Somerset,N.J. ,Canton,Mich.,Michigan
Jenna,Prandini,,F,Track and Field,200m ,none,"5'8""",132,32466,Fresno,Calif.,Clovis,Calif.,Eugene,Ore.,"University of Oregon '16, Business and Economics"
DeAnna,Price,,F,Track and Field,Hammer Throw,none,5'8,220,32666,St. Charles,Mo.,Old Monroe,Mo. ,Carbondale,Ill.,"Southern Illinois University '16, Accounting"
Colleen ,Quigley,,F,Track and Field,3000m Steeplechase,none,"5'9""",135,32466,St. Louis,Mo.,St. Louis,Mo. ,Portland,Ore.,"Florida State University '15, Dietetics"
Brittney,Reese,,F,Track and Field,Long Jump,2008; 2012-G,"5'8""",136,30202,Inglewood,California,Gulfport,Miss.,Chula Vista,Calif.,"University of Mississippi '08, English"
Gil,Roberts,,M,Track and Field,400m,none,"6'2""",180,31120,Oklahoma City,Okla. ,Oklahoma City,Okla. ,Los Angeles,Calif.,"Texas Tech University '11, Sociology "
Ricky,Robertson,,M,Track and Field,High Jump,none,"5'11""",165,31673,Mount Holly,N.J. ,Hernando,Miss.,Chula Vista,Calif.,"University of Mississippi '14, Criminal Justice/Psychology"
Byron,Robinson,,M,Track and Field,400m Hurdles,none,"5'9""",165,33367,Richmond,Va. ,Chesapeake,Va. ,Austin,Texas,"University of Texas '17, Government"
Michael,Rodgers,,M,Track and Field,4x100m,none,"5'9""",178,29699,St. Louis,Mo. ,Florissant,Mo. ,Round Rock,Texas,Oklahoma Baptist University '06
Brianna,Rollins,,F,Track and Field,100m Hurdles,none,"5'5""",130,32006,Miami,Fla.,Miami,Fla.,Canoga,Calif.,Clemson University '13
Shannon,Rowbury,,F,Track and Field,"1,500m",2008;2012,"5'5""",115,29482,San Francisco,Calif.,San Francisco,Calif.,San Francisco,Calif.,Duke '07
Raven,Saunders,,F,Track and Field ,Shot Put,none,"5'5""",240,33738,Charleston,S.C. ,Charleston,S.C. ,Oxford,Miss.,"University of Mississippi '18, General Studies"
Cale,Simmons,,M,Track and Field,Pole Vault,none,"6'0""",145,31812,Oklahoma City,Okla. ,Rocklin,Calif.,Colorado Springs,Colo.,"Air Force Academy '13, Science"
Jenny,Simpson,,F,Track and Field,"1,500m",2008; 2012,"5'5""",118,30185,Webster City,Iowa,Boulder,Colo.,Boulder,Colo.,Colorado (2009 grad)
Ashley,Spencer,,F,Track and Field,400m Hurdles,none,"5'10""",130,32666,Indianapolis,Ind.,Indianapolis,Ind.,Austin,Texas,Illinois '15
Deajah,Stevens,,F,Track and Field,200m ,none,"5'9""",142,33376,Baltimore,Md.,Bayside,N.Y.,Eugene,Ore.,University of Oregon
Jenn,Suhr,,F,Track and Field,Pole Vault,2008-S; 2012-G,"6'0""",145,28525,Fredonia,N.Y. ,Fredonia,N.Y. ,Churchville,N.Y. ,Roberts Wesleyan '05
